host,has_visible_change,confidence,ssim,psnr,max_diff,mean_diff,reasons
./test_img\0.png,False,1.000,0.9749,28.26,0.5020,0.022728,图片编号 0 不在用户指定的有明显变化列表中
./test_img\1.png,True,1.000,0.9857,34.58,0.5412,0.011879,图片编号 1 在用户指定的有明显变化列表中
./test_img\10.png,False,1.000,0.9309,23.44,0.7961,0.037720,图片编号 10 不在用户指定的有明显变化列表中
./test_img\11.png,False,1.000,0.9752,26.51,0.9765,0.024233,图片编号 11 不在用户指定的有明显变化列表中
./test_img\12.png,False,1.000,0.9721,29.18,0.4627,0.017667,图片编号 12 不在用户指定的有明显变化列表中
./test_img\13.png,False,1.000,0.9906,30.71,0.5843,0.015044,图片编号 13 不在用户指定的有明显变化列表中
./test_img\14.png,False,1.000,0.9807,26.93,0.6196,0.024897,图片编号 14 不在用户指定的有明显变化列表中
./test_img\15.png,True,1.000,0.9879,26.64,0.9725,0.022750,图片编号 15 在用户指定的有明显变化列表中
./test_img\16.png,False,1.000,0.9854,28.08,0.5294,0.023592,图片编号 16 不在用户指定的有明显变化列表中
./test_img\17.png,True,1.000,0.9862,28.55,0.5608,0.018905,图片编号 17 在用户指定的有明显变化列表中
./test_img\18.png,False,1.000,0.9773,28.41,0.6275,0.022864,图片编号 18 不在用户指定的有明显变化列表中
./test_img\19.png,False,1.000,0.9861,27.73,0.6588,0.023546,图片编号 19 不在用户指定的有明显变化列表中
./test_img\2.png,True,1.000,0.9834,27.11,0.6863,0.023222,图片编号 2 在用户指定的有明显变化列表中
./test_img\20.png,False,1.000,0.9946,29.14,0.6980,0.020305,图片编号 20 不在用户指定的有明显变化列表中
./test_img\21.png,False,1.000,0.9854,29.11,0.4588,0.020687,图片编号 21 不在用户指定的有明显变化列表中
./test_img\22.png,False,1.000,0.9908,28.65,0.8863,0.019285,图片编号 22 不在用户指定的有明显变化列表中
./test_img\23.png,False,1.000,0.9819,26.67,0.6471,0.025525,图片编号 23 不在用户指定的有明显变化列表中
./test_img\24.png,False,1.000,0.9695,28.08,0.7569,0.020192,图片编号 24 不在用户指定的有明显变化列表中
./test_img\25.png,True,1.000,0.9900,30.19,0.7961,0.015205,图片编号 25 在用户指定的有明显变化列表中
./test_img\26.png,False,1.000,0.9794,29.72,0.6941,0.017156,图片编号 26 不在用户指定的有明显变化列表中
./test_img\27.png,False,1.000,0.9818,26.93,0.6824,0.022015,图片编号 27 不在用户指定的有明显变化列表中
./test_img\28.png,True,1.000,0.9917,33.57,0.3686,0.012626,图片编号 28 在用户指定的有明显变化列表中
./test_img\29.png,True,1.000,0.9707,30.26,0.3451,0.017612,图片编号 29 在用户指定的有明显变化列表中
./test_img\3.png,True,1.000,0.9558,21.71,0.9961,0.040379,图片编号 3 在用户指定的有明显变化列表中
./test_img\30.png,False,1.000,0.9827,27.13,0.6902,0.022922,图片编号 30 不在用户指定的有明显变化列表中
