============================================================
RMSteg 评估报告
============================================================

评估图片数量: 53

平均指标:
  SSIM:  0.8888
  PSNR:  27.78 dB
  LPIPS: 0.0985

单张图片详情:
  0: SSIM=0.8645, PSNR=28.27, LPIPS=0.1066
  1: SSIM=0.9132, PSNR=34.61, LPIPS=0.1594
  10: SSIM=0.8793, PSNR=23.44, LPIPS=0.0793
  11: SSIM=0.8624, PSNR=26.52, LPIPS=0.1022
  12: SSIM=0.8961, PSNR=29.18, LPIPS=0.1339
  13: SSIM=0.9072, PSNR=30.72, LPIPS=0.1005
  14: SSIM=0.8856, PSNR=26.94, LPIPS=0.0830
  15: SSIM=0.8969, PSNR=26.65, LPIPS=0.1041
  16: SSIM=0.8970, PSNR=28.09, LPIPS=0.0748
  17: SSIM=0.9125, PSNR=28.56, LPIPS=0.0970
  18: SSIM=0.8833, PSNR=28.42, LPIPS=0.0971
  19: SSIM=0.8698, PSNR=27.74, LPIPS=0.0845
  2: SSIM=0.8993, PSNR=27.12, LPIPS=0.0792
  20: SSIM=0.8624, PSNR=29.15, LPIPS=0.1328
  21: SSIM=0.9008, PSNR=29.12, LPIPS=0.0921
  22: SSIM=0.8839, PSNR=28.66, LPIPS=0.0938
  23: SSIM=0.8867, PSNR=26.67, LPIPS=0.0754
  24: SSIM=0.8966, PSNR=28.09, LPIPS=0.0961
  25: SSIM=0.9038, PSNR=30.20, LPIPS=0.1273
  26: SSIM=0.9171, PSNR=29.73, LPIPS=0.0794
  27: SSIM=0.8854, PSNR=26.93, LPIPS=0.0895
  28: SSIM=0.9226, PSNR=33.59, LPIPS=0.1316
  29: SSIM=0.8956, PSNR=30.27, LPIPS=0.0813
  3: SSIM=0.9118, PSNR=21.71, LPIPS=0.0712
  30: SSIM=0.9099, PSNR=27.13, LPIPS=0.0796
  31: SSIM=0.8979, PSNR=25.30, LPIPS=0.0575
  32: SSIM=0.8964, PSNR=28.43, LPIPS=0.0808
  33: SSIM=0.8763, PSNR=25.28, LPIPS=0.0992
  34: SSIM=0.9117, PSNR=26.03, LPIPS=0.0590
  35: SSIM=0.8989, PSNR=23.46, LPIPS=0.0800
  36: SSIM=0.8877, PSNR=25.76, LPIPS=0.0835
  37: SSIM=0.9016, PSNR=27.33, LPIPS=0.0645
  38: SSIM=0.8463, PSNR=26.63, LPIPS=0.0805
  39: SSIM=0.8841, PSNR=23.50, LPIPS=0.1364
  4: SSIM=0.8908, PSNR=27.94, LPIPS=0.0737
  40: SSIM=0.9162, PSNR=31.22, LPIPS=0.1097
  41: SSIM=0.9164, PSNR=30.80, LPIPS=0.0874
  42: SSIM=0.8741, PSNR=27.72, LPIPS=0.0942
  43: SSIM=0.8889, PSNR=27.38, LPIPS=0.0899
  44: SSIM=0.8894, PSNR=28.24, LPIPS=0.1114
  45: SSIM=0.8948, PSNR=26.85, LPIPS=0.0936
  46: SSIM=0.8296, PSNR=28.13, LPIPS=0.0857
  47: SSIM=0.8743, PSNR=28.85, LPIPS=0.0984
  48: SSIM=0.9229, PSNR=29.41, LPIPS=0.0642
  49: SSIM=0.8781, PSNR=25.61, LPIPS=0.1101
  5: SSIM=0.8410, PSNR=23.81, LPIPS=0.1152
  50: SSIM=0.8941, PSNR=28.60, LPIPS=0.0928
  6: SSIM=0.8936, PSNR=24.40, LPIPS=0.0748
  7: SSIM=0.8876, PSNR=27.81, LPIPS=0.0840
  8: SSIM=0.9088, PSNR=30.09, LPIPS=0.0806
  9: SSIM=0.8673, PSNR=24.60, LPIPS=0.0929
  green: SSIM=0.8322, PSNR=29.35, LPIPS=0.2680
  red: SSIM=0.8596, PSNR=32.41, LPIPS=0.2035
